tieu_de,gia,dia_chi,dien_tich_dat,phong_ngu,phong_tam,so_tang,phap_ly,ngay_dang
"Bán nhà Lạc Long Quân, phường 5, Quận 11 (3,4m x 9m x 3 tầng) 6,9 tỷ TL","6,9 tỷ","Đường Lạc Long Quân, Phường 5, Quận 11, Hồ Chí Minh",30 m²,2 phòng,2 phòng,3 tầng,Sổ đỏ/ Sổ hồng,18/03/2026
"(5,2 tỷ TL) Nhà 1 sẹc, hẻm xe hơi, 4.3m x 10m, 41m2 gần trục Lý Thường Kiệt!","5,2 tỷ","Đường Bắc Hải, Phường 15, Quận 10, Hồ Chí Minh",41 m²,1 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,26/03/2026
"VIP P. Bến Nghé, Q.1, Nhà đẹp 5 tầng, ngang 4.7 m, nở hậu 8 m, giá cực tốt","15,5 tỷ","Đường Nguyễn Thị Minh Khai, Phường Bến Nghé, Quận 1, Hồ Chí Minh",49 m²,N/A,N/A,5 tầng,Sổ đỏ/ Sổ hồng,21/03/2026
"Nhà ngộp mới xây đã hoàn công 4PN, 4WC tại Phú Lợi, 110m2, giá siêu hời 8ty mới toanh","8,6 tỷ","Khu dân cư Phú Lợi, Đường Phạm Thế Hiển, Phường 7, Quận 8, Hồ Chí Minh",110 m²,4 phòng,4 phòng,3 tầng,Sổ đỏ/ Sổ hồng,27/03/2026
"Bán nhà cấp 4 đường Nguyễn Văn Luông Quận 6 - diện tích khủng 115m2 - ngang 6,7m, chỉ nhỉnh 7. x tỷ","7,2 tỷ","Đường Nguyễn Văn Luông, Phường 11, Quận 6, Hồ Chí Minh",115 m²,N/A,N/A,N/A,N/A,22/03/2026
"Bán nhà riêng 50m2 Quận 12 hẻm xe hơi ngay nhà máy Bia Lê Văn Khương, giá siêu hời","1,19 tỷ","Đường Lê Văn Khương, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",25 m²,1 phòng,1 phòng,N/A,Sổ đỏ/ Sổ hồng chung,17/03/2026
"Gấp bán nhà riêng tại Nguyễn Văn Quỳ Quận 7, HXH gần, giá:4,75tỷ, DT:65m2, view đẹp, nhiều tiện ích","4,75 tỷ","Đường Nguyễn Văn Quỳ, Phường Phú Thuận, Quận 7, Hồ Chí Minh",65 m²,3 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,28/03/2026
"BÁN NHÀ ĐẸP HẺM 324./ Dương Bá TRẠC, phường Chánh Hưng, Quận 8 . 48.1 m2. GIÁ 5 TỶ 9.","5,9 tỷ","hẻm 324/ dương bá trạc Phường 1 quận 8, Đường Dương Bá Trạc, Phường 1, Quận 8, Hồ Chí Minh",48 m²,2 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,29/03/2026
"Bán Nhà Lô Góc 2 Mặt Tiền đường 8m, 1 Sẹc Nguyễn Văn Quá Quận 12 - 6x13m, Giá 7 Tỷ",7 tỷ,"Đường Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh",82 m²,1 phòng,1 phòng,N/A,Sổ đỏ/ Sổ hồng,30/03/2026
Nhà bán có thang máy đường thông 8m Lê Đức Thọ - P.6 - Gò Vấp - 4.2m x 16m,12 tỷ,"Đường Lê Đức Thọ, Phường 6, Quận Gò Vấp, Hồ Chí Minh",60 m²,4 phòng,5 phòng,6 tầng,N/A,24/03/2026
"Bán nhà HXH Lê Văn Sỹ,Phường 13,Quận 3.DT: 4.2x27m, 4 Tầng Giá 25 tỷ TL(Hẻm cực đẹp thông xe hơi)",25 tỷ,"Đường Lê Văn Sỹ, Phường 13, Quận 3, Hồ Chí Minh",115 m²,7 phòng,5 phòng,4 tầng,Sổ đỏ/ Sổ hồng,23/03/2026
BÁN NHÀ 4 TẦNG - LÊ VĂN THỊNH - ĐƯỜNG THÔNG 2 XE HƠI CHẠY VI VU - 90M2 - 9.x TỶ,9 tỷ,"Phường Cát Lái, Quận 2, Hồ Chí Minh",90 m²,N/A,N/A,4 tầng,N/A,21/03/2026
BÌNH TÂN  NHÀ 4 TẦNG  KHU KÊNH NƯỚC ĐEN  4PN  HẺM THÔNG 4M  CHỈ NHỈNH 4.x TỶ,"4,89 tỷ","Đường Số 14, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh",40 m²,4 phòng,4 phòng,4 tầng,Sổ đỏ/ Sổ hồng,30/03/2026
"BÁN NHÀ ĐƯỜNG LÝ THÁI TỔ TRUNG TÂM QUẬN 10 HXH XE HƠI ĐỖ TẬN NHÀ 4 TẦNG BTCT GIÁ CHỈ 8,48 TỶ TL","8,48 tỷ","Đường Lý Thái Tổ, Phường 9, Quận 10, Hồ Chí Minh",40 m²,3 phòng,4 phòng,4 tầng,Sổ đỏ/ Sổ hồng,28/03/2026
"Mua bán nhà quận 4, nhà cấp 4, tiện xây mới, khu 20 Thước vs Vĩnh Khánh!","4,35 tỷ","Đường 20 Thước, Phường 9, Quận 4, Hồ Chí Minh",21 m²,2 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,19/03/2026
Bán nhà 5.15x21m An Dương Vương Q5 - 4 lầu - giá 25 tỷ -0906 366 ***,25 tỷ,"Đường An Dương Vương, Phường 4, Quận 5, Hồ Chí Minh",111 m²,N/A,N/A,4 tầng,Sổ đỏ/ Sổ hồng.,27/03/2026
"Nhà mới siêu đẹp phạm văn chiêu p8 gò vấp 4T - 4pn - 70m - 8 tỉ, khu đồng bộ cao tầng",8 tỷ,"Đường Phạm Văn Chiêu, Phường 8, Quận Gò Vấp, Hồ Chí Minh",70 m²,4 phòng,3 phòng,4 tầng,Sổ đỏ/ Sổ hồng,30/03/2026
"Bán Nhà riêng tại Bình Hưng Hòa B, 5,305 tỷ, 90m2, 3PN + 2WC + 2 tầng, uy tín hàng hiếm","5,8 tỷ","Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh",90 m²,3 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,29/03/2026
"Sổ hồng công chứng - Nhà mới xây gần ngay mặt tiền Lê Đình Cẩn, Bình Tân","1,8 tỷ","Hẻm 1/, Đường Lê Đình Cẩn, Phường Tân Tạo, Quận Bình Tân, Hồ Chí Minh",30 m²,2 phòng,2 phòng,1 tầng,Sổ đỏ/ Sổ hồng.,29/03/2026
Nhà 1 trệt 1 lầu Quận 8 - 2 PN - Sổ hồng riêng - hẻm rộng 4m - Lưu Hữu Phước - chỉ 2.3 tỷ,"2,3 tỷ","Đường Lưu Hữu Phước, Phường 16, Quận 8, Hồ Chí Minh",25 m²,2 phòng,1 phòng,2 tầng,Sổ đỏ/ Sổ hồng,28/03/2026
"Nhà sổ hồng riêng ,có.phòng ngủ tầng trệt 1 lầu 3 phòng ngủ,gần khu công nghiệp Q7.","4,25 tỷ","Đường Huỳnh Tấn Phát, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",36 m²,3 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,26/03/2026
"Cần bán gấp nhà hẻm phan văn trị, q5, 5x6=4 tầng, giá, 5,8 tỷ, giảm còn 5,4","5,4 tỷ","Đường Phan Văn Trị, Phường 2, Quận 5, Hồ Chí Minh",24 m²,N/A,N/A,4 tầng,N/A,16/03/2026
"Giá tốt vị trí đẹp! Nhà 55.1m2 SHR 2T, đường oto tránh sẹc ngắn MT TX33 gần uỷ ban, khu dân trí tốt","4,7 tỷ","Đường Thạnh Xuân 33, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh","55,1 m²",2 phòng,3 phòng,2 tầng,Sổ đỏ/ Sổ hồng,29/03/2026
"Em cần ra đi gấp căn chính chủ Trang Tử, P14 Q5, 62.4m2, HĐ thuê 15 triệu/th, sổ hồng riêng",Thỏa thuận,"Đường Trang Tử, Phường 14, Quận 5, Hồ Chí Minh","62,4 m²",3 phòng,3 phòng,2 tầng,Sổ đỏ/ Sổ hồng,25/03/2026
MẶT TIỀN NI SƯ HUỲNH LIÊN 6 TẦNG THANG MÁY FULL NỘI THẤT 70M2,14 tỷ,"Đường Ni Sư Huỳnh Liên, Phường 10, Quận Tân Bình, Hồ Chí Minh",70 m²,6 phòng,6 phòng,6 tầng,Sổ đỏ/ Sổ hồng,30/03/2026
Giá tốt bán khách sạn nội thất gỗ xịn - 3 tầng - 1 sẹc gần ngã 3 Nguyễn Ảnh Thủ - Thu nhập 30 tr/th,"7,8 tỷ","Đường Lê Văn Khương, Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh",106 m²,12 phòng,6 phòng,3 tầng,Sổ đỏ/ Sổ hồng,28/03/2026
Nhà phố hiện đại full NT - Hẻm 3m Đường Lưu Trọng Lư - Cách MT chỉ 20m,"3,99 tỷ","hẻm 39, Đường Lưu Trọng Lư, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh","22,5 m²",2 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,29/03/2026
"Bán nhà hẻm xe hơi 100 đường Thích Quảng Đức, Phường 5, Phú Nhuận 1 trệt 2 lầu ST 4PN 4WC","8,65 tỷ","Đường Thích Quảng Đức, Phường 5, Quận Phú Nhuận, Hồ Chí Minh","37,5 m²",4 phòng,4 phòng,4 tầng,Sổ đỏ/ Sổ hồng,23/03/2026
BÁN NHÀ HXH KHU BIỆT THỰ PHỔ QUANG GẦN SÂN BAY TÂN SƠN NHẤT TÂN BÌNH GIÁ 12 TỶ.,12 tỷ,"Đường Phổ Quang, Phường 2, Quận Tân Bình, Hồ Chí Minh",47 m²,3 phòng,3 phòng,3 tầng,Sổ đỏ/ Sổ hồng,25/03/2026
"MT 6m 276/77 Thống Nhất DT 6,5 x 26,5m, dòng tiền 140tr/tháng bán 30 tỷ",30 tỷ,"276/77, Đường Thống Nhất, Phường 16, Quận Gò Vấp, Hồ Chí Minh","142,2 m²",26 phòng,27 phòng,N/A,Sổ đỏ/ Sổ hồng,30/03/2026
"Bán gấp HXH Bà Hom, 4 tầng BTCT, 4 PN 5WC, vài bước ra mặt tiền, gần ngay chợ Phú Lâm, TTYT Quận 6","9,1 tỷ","Đường Bà Hom, Phường 13, Quận 6, Hồ Chí Minh",60 m²,4 phòng,5 phòng,4 tầng,Sổ đỏ/ Sổ hồng,18/03/2026
"Bán nhà đường Trương Thị Hoa, gần ST Mega q12","5,7 tỷ","Đường Trương Thị Hoa, Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh",80 m²,4 phòng,3 phòng,3 tầng,Sổ đỏ/ Sổ hồng,28/03/2026
"Gấp bán giảm gần 1 tỷ, gần Emart Phan Văn Trị - 70.8m2 - hẻm xe hơi, 3 tầng - 4PN","5,7 tỷ","Đường Phan Văn Trị, Phường 5, Quận Gò Vấp, Hồ Chí Minh","70,8 m²",4 phòng,3 phòng,3 tầng,Sổ đỏ/ Sổ hồng,30/03/2026
"Sở hữu nhà vị trí vàng đường Cách Mạng Tháng 8, Quận 3/ DT 51m2, shr chính chủ",Thỏa thuận,"Đường Cách Mạng Tháng Tám, Phường 9, Quận 3, Hồ Chí Minh",51 m²,3 phòng,2 phòng,3 tầng,Sổ đỏ/ Sổ hồng,20/03/2026
KẾ SÂN BAY- ĐƯỜNG XE HƠI VÔ NHÀ- 118M2- NGANG 5.1M- F13- TÂN BÌNH - CHỈ 14.8 TỶ- GIÁ RẺ HƠN TÂN PHÚ,"14,8 tỷ","Đường Đồng Xoài, Phường 13, Quận Tân Bình, Hồ Chí Minh",118 m²,8 phòng,4 phòng,3 tầng,Sổ đỏ/ Sổ hồng,30/03/2026
"Giảm 1,5 tỷ, HXH VIP 6m Nam Kỳ Khởi Nghĩa, 4x15m, 4 tầng, khu sang, vào ở ngay, chỉ 18 tỷ TL",18 tỷ,"Đường Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh",60 m²,N/A,N/A,4 tầng,Sổ đỏ/ Sổ hồng,19/03/2026
Bán CHDV đường Bùi Tá Hán An Phú Q2 - DT 8x20m - HDT 100tr/th - Giá 32 tỷ,32 tỷ,"Đường Bùi Tá Hán, Phường An Phú, Quận 2, Hồ Chí Minh",160 m²,N/A,N/A,2 tầng,Sổ đỏ/ Sổ hồng,23/03/2026
(Giảm 900tr) Bán nhà ngang 5m hẻm xe hơi đậu trước nhà đường Nguyễn Văn Luông Quận 6,"7,5 tỷ","Đường Nguyễn Văn Luông, Phường 12, Quận 6, Hồ Chí Minh","69,4 m²",2 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,23/03/2026
"Bán CHDV tại Huỳnh Tấn Phát, Quận 7. DT 170m2, ngang 6m, full nội thất, dòng tiền khủng","13,7 tỷ","Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh",170 m²,10 phòng,10 phòng,N/A,Sổ đỏ/ Sổ hồng,30/03/2026
NHÀ MỚI ĐẸP HUỲNH VĂN BÁNH P.NHUẬN HXH TỚI NHÀ 3 TẦNG NGANG 4M NỞ HẬU FULL NỘI THẤT CAO CẤP.,"6,3 tỷ","Đường Huỳnh Văn Bánh, Phường 13, Quận Phú Nhuận, Hồ Chí Minh",29 m²,3 phòng,3 phòng,3 tầng,Sổ đỏ/ Sổ hồng,28/03/2026
"115m2 hiếm CHDV - Lê Lợi - ngay vòng xoay CV Gia Định - Nguyễn Thái Sơn - ngang 5m - 7PN, 9tỷ9","9,9 tỷ","Đường Lê Lợi, Phường 3, Quận Gò Vấp, Hồ Chí Minh",115 m²,7 phòng,7 phòng,3 tầng,Sổ hồng,30/03/2026
Nhà Đẹp HXH 254 Lê Văn Thọ 64M2 Ngang 4.3m 1 trệt 2 lầu Nhỉnh 8ty P.11 Q.Gò Vấp,"8,6 tỷ","Đường Lê Văn Thọ, Phường 11, Quận Gò Vấp, Hồ Chí Minh",64 m²,4 phòng,4 phòng,3 tầng,Sổ đỏ/ Sổ hồng,30/03/2026
Trung tâm Phú Nhuận gần khu ẩm thực Phan Xích Long 130m2 đất sử dụng 5 tầng 13PN có thang máy,Thỏa thuận,"Đường Hoa Cau, Phường 7, Quận Phú Nhuận, Hồ Chí Minh",130 m²,13 phòng,7 phòng,5 tầng,Sổ đỏ/ Sổ hồng,24/03/2026
Xuất cảnh bán gấp - Bán nhà Cô Bắc 44m² 4 tầng - 8.59 tỷ,"8,59 tỷ","Đường Cô Bắc, Phường 2, Quận Phú Nhuận, Hồ Chí Minh",44 m²,N/A,N/A,4 tầng,N/A,30/03/2026
Ôtô NGỦ NHÀ _Nhà mới 5 tầng 4.2x12_Kiều Đàm Tân Hưng Quận 7_ Sát Lotte Mart Nguyễn Thị Thập_10TỶX,10 tỷ,"Đường Nguyễn Thị Thập, Phường Tân Hưng, Quận 7, Hồ Chí Minh",50 m²,4 phòng,5 phòng,5 tầng,Sổ đỏ/ Sổ hồng,20/03/2026
"Bán nhà Nguyễn Văn Trỗi Phú Nhuận, 6m 29m, 3 tầng + lửng, giá 44 tỷ.",44 tỷ,"Đường Nguyễn Văn Trỗi, Phường 15, Quận Phú Nhuận, Hồ Chí Minh",176 m²,N/A,N/A,4 tầng,Sổ đỏ/ Sổ hồng,30/03/2026
"Nhà mới 4 tầng, 2 mặt tiền hẻm trước sau vào ở ngay - Bình Đông, P14, Quận 8 (nay P. Phú Định)","4,29 tỷ","Đường Bình Đông, Phường 14, Quận 8, Hồ Chí Minh",36 m²,4 phòng,3 phòng,4 tầng,Sổ đỏ.,22/03/2026
"BÁN NHÀ NGUYỄN THÁI SƠN, OTO VÀO NHÀ, 90M2, 3TẦNG, NGANG 5.5M, 11.5 TỶ TÍ","11,5 tỷ","Đường Nguyễn Thái Sơn, Phường 1, Quận Gò Vấp, Hồ Chí Minh",90 m²,6 phòng,6 phòng,3 tầng,Sổ đỏ/ Sổ hồng,16/03/2026
"Bán nhà Trương Đình Hội - P.16, Q8 ( cũ ) - Căn góc hẻm thoáng, Ko vạc góc, 3 tầng, 46m2","4,6 tỷ","Đường Trương Đình Hội, Phường 16, Quận 8, Hồ Chí Minh",46 m²,4 phòng,3 phòng,3 tầng,Sổ đỏ/ Sổ hồng,31/03/2026
Nhà đẹp Đường Ba Đình P8 Q8 4 tầng giá 5 tỷ 350,"5,35 tỷ","Đường Hưng Phú, Phường 8, Quận 8, Hồ Chí Minh","42,5 m²",4 phòng,3 phòng,4 tầng,Sổ đỏ/ Sổ hồng,30/03/2026
"Nhà mới HXH Huỳnh Văn Nghệ, An Hội Tây, 2 tầng chỉ hơn 4 tỷ","4,98 tỷ","Đường Huỳnh Văn Nghệ, Phường 12, Quận Gò Vấp, Hồ Chí Minh",35 m²,2 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,29/03/2026
"CHDV Dương Quảng Hàm, hẻm xe tải thông, ngang 5.3m, 90m2, 4 tầng, chỉ 10.3 tỷ TL","10,3 tỷ","Đường Dương Quảng Hàm, Phường 5, Quận Gò Vấp, Hồ Chí Minh",90 m²,11 phòng,11 phòng,4 tầng,Sổ đỏ/ Sổ hồng,31/03/2026
Nhà Quang Trung . Gò Vấp . 5 Lầu .HXH . 4 x 15 . Chỉ 8 tỷ 5,"8,5 tỷ","Đường Quang Trung, Phường 14, Quận Gò Vấp, Hồ Chí Minh",57 m²,5 phòng,6 phòng,5 tầng,Sổ đỏ/ Sổ hồng,24/03/2026
"NHÀ MỚI 4 TẦNG GIÁP TẠ QUANG BỬU - QUẬN 8- Ô TÔ ĐẬU CỬA - 4,5 x 11m- TẶNG NỘI THẤT- CHỈ 9.x TỶ","9,5 tỷ","Phố Tạ Quang Bửu, Phường 5, Quận 8, Hồ Chí Minh",50 m²,N/A,N/A,4 tầng,N/A,26/03/2026
Siêu Phẩm 2 tầng .Trung Tâm Quận 11.đường tôn thất hiệp. Chỉ xách va li vào ở..giá hơn 4 tỷ xíu,"4,18 tỷ","Đường Tôn Thất Hiệp, Phường 12, Quận 11, Hồ Chí Minh",25 m²,N/A,N/A,2 tầng,Sổ đỏ/ Sổ hồng,23/03/2026
"Gấp bán nhà hẻm 1041 Trần Xuân Soạn, đi bộ ra Lotte Q7, khu cao ráo không ngập nước, giá 3tỷ350 TL","3,35 tỷ","hẻm 1041, Phố Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Hồ Chí Minh",34 m²,2 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,30/03/2026
"Bán nhà hẻm xe tải 75m2 8 CHDV dòng tiền 25 triệu/tháng, hơn 9 tỷ Quận 8","9,4 tỷ","Đường Nguyễn Thị Tần, Phường 2, Quận 8, Hồ Chí Minh",75 m²,8 phòng,8 phòng,5 tầng,Sổ đỏ/ Sổ hồng,24/03/2026
Bán Nhà QUẬN 3 HXT Thông kinh doanh 75m2 chỉ 16 tỷ,16 tỷ,"Đường Điện Biên Phủ, Phường 1, Quận 3, Hồ Chí Minh",75 m²,3 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,28/03/2026
SIÊU PHẨM Q6 - GIÁ RẺ NHƯ HẠT DẺ- SỔ HỒNG RIÊNG - NHANH TAY,"1,68 tỷ","Đường Tân Hòa Đông, Phường 14, Quận 6, Hồ Chí Minh","16,5 m²",2 phòng,2 phòng,3 tầng,Sổ đỏ/ Sổ hồng,26/03/2026
NHÀ CHÍNH CHỦ ĐƯỜNG XE HOI BÙI MINH TRỰC TRUNG TÂM QUẬN 8 NHỈNH 9 TỶ,"9,5 tỷ","Đường Bùi Minh Trực, Phường 4, Quận 8, Hồ Chí Minh",76 m²,3 phòng,N/A,3 tầng,Sổ đỏ/ Sổ hồng,26/03/2026
"Bán Nhà Riêng 60m2, 5,1tỷ, Nguyễn Thị Kiêu, Thới An, Quận 12, HCM, Chính chủ, giá tốt","5,1 tỷ","Đường Nguyễn Thị Kiêu, Phường Thới An, Quận 12, Hồ Chí Minh",60 m²,3 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,18/03/2026
"Nhà tiện xây mới, hẻm 3m, 5.5m x 15m, XD cao tầng, giá 5.4 tỷ","5,4 tỷ","Phường Phú Thuận, Quận 7, Hồ Chí Minh","77,5 m²",2 phòng,2 phòng,1 tầng,Sổ đỏ/ Sổ hồng,31/03/2026
"Bán nhà siêu phẩm HXH - ngang 12.3m2, 10m ra MT Xóm Chiếu, chào chỉ 6.7T - gần ĐH Nguyễn Tất Thành","6,7 tỷ","Đường Xóm Chiếu, Phường 10, Quận 4, Hồ Chí Minh",55 m²,2 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,27/03/2026
"Hẻm đẹp Đặng Văn Ngữ, P10, Phú Nhuận - 5 tầng (4 x 12m) - HĐT: 7 CHDV - 40 triệu - Giá 9,9 tỷ","9,9 tỷ","Đường Đặng Văn Ngữ, Phường 10, Quận Phú Nhuận, Hồ Chí Minh",45 m²,7 phòng,7 phòng,5 tầng,Sổ đỏ/ Sổ hồng,26/03/2026
"Nhà mới 2 tầng sát HXH ngay KDC Him Lam, 4.5m x 13m, 3pn rộng, giá 5.6 tỷ","5,6 tỷ","Phường Tân Hưng, Quận 7, Hồ Chí Minh",55 m²,3 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,28/03/2026
"Chỉ 8,1 tỷ 79m2 4 tầng hẻm ô tô Quang Trung P10 Gò Vấp","8,1 tỷ","Đường Quang Trung, Phường 10, Quận Gò Vấp, Hồ Chí Minh",79 m²,4 phòng,5 phòng,4 tầng,Sổ đỏ/ Sổ hồng,20/03/2026
"Nhà bán 5 Tầng -3,6 x 18,6-76m2-6 pn,7 Wc full nội thất hẻm 90 Âu Dương Lân P3Q8 cũ.ô tô đậu 30m","8,6 tỷ","Đường Âu Dương Lân, Phường 3, Quận 8, Hồ Chí Minh",67 m²,6 phòng,7 phòng,5 tầng,Sổ đỏ/ Sổ hồng,21/03/2026
KHU ĐỒNG BỘ CAO CẤP  LÊ TRỌNG TẤN (4.5MX12M)_ ĐÚC 4 TẤM SANG TRỌNG,"8,25 tỷ","Đường Lê Trọng Tấn, Phường Tây Thạnh, Quận Tân Phú, Hồ Chí Minh",54 m²,4 phòng,3 phòng,4 tầng,Sổ đỏ/ Sổ hồng,30/03/2026
126m2 - đường 6m xe tải - Nguyễn Cửu Phú - sát bên Tên Lửa,"5,5 tỷ","Đường Nguyễn Cửu Phú, Phường Tân Tạo, Quận Bình Tân, Hồ Chí Minh","124,8 m²",6 phòng,6 phòng,N/A,Sổ đỏ/ Sổ hồng,30/03/2026
"Nhà bán, DT 35 m2, (4,5*8m) giá 4,1 tỷ, Đường Nguyễn Duy Trinh, P. Bình Trưng Tây, Tp Thủ Đức","4,1 tỷ","Đường Nguyễn Duy Trinh, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh",35 m²,2 phòng,2 phòng,1 tầng,Sổ đỏ/ Sổ hồng,17/03/2026
"NHÀ 4 LẦU DT 4X18M - 72 HXH 8M ĐƯỜNG THỐNG NHẤT, P11 - GÒ VẤP CHÍNH CHỦ BÁN GẤP 8,5 TỶ TL","8,5 tỷ","Đường Thống Nhất, Phường 11, Quận Gò Vấp, Hồ Chí Minh",72 m²,4 phòng,5 phòng,4 tầng,Sổ đỏ/ Sổ hồng,30/03/2026
"TÂN SƠN NHÌ, TÂN PHÚ, 5,2*23M CÔNG NHẬN 120M2 ,HẺM 7M THÔNG GIÁ 15,6 TỶ","15,6 tỷ","Đường Nguyễn Thế Truyện, Phường Tân Sơn Nhì, Quận Tân Phú, Hồ Chí Minh",120 m²,5 phòng,5 phòng,4 tầng,Sổ đỏ/ Sổ hồng,28/03/2026
"Bán nhà lô góc hẻm ô tô Hậu Giang, Quận 6, giá 3.99 tỷ có dòng tiền 8tr/tháng","3,9 tỷ","Đường Hậu Giang, Phường 11, Quận 6, Hồ Chí Minh",25 m²,2 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,18/03/2026
"Nhà 6.8 tỷ, bank cho vay 8 tỷ, chủ cần bán gấp 5x25m, sổ vuông, dòng tiền 20 triệu/ tháng","6,8 tỷ","Đường Tân Hòa Đông, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh",125 m²,N/A,N/A,2 tầng,Sổ đỏ/ Sổ hồng,30/03/2026
"Cuối năm ra hàng siêu phẩm nhà đường Bình Tiên P1 Quận 6 Giá 4tỷ750/62,4m2(4,8x13m)nhà 2 lầu-SHR-2L",Thỏa thuận,"Đường Bình Tiên, Phường 1, Quận 6, Hồ Chí Minh","62,4 m²",4 phòng,3 phòng,2 tầng,Sổ đỏ/ Sổ hồng,21/03/2026
"Bán nhà nát hẻm 205/15 Thoại Ngọc Hầu, P. Phú Thạnh, Q. Tân Phú","5,15 tỷ","hẻm 205/15, Đường Thoại Ngọc Hầu, Phường Phú Thạnh, Quận Tân Phú, Hồ Chí Minh",40 m²,N/A,N/A,N/A,N/A,29/03/2026
"Hót! Chủ bán gấp nhà riêng 30 tỷ, 149.9m2 tại Thảo Điền, An Khánh, Q2",32 tỷ,"Phường Thảo Điền, Quận 2, Hồ Chí Minh","149,9 m²",4 phòng,4 phòng,3 tầng,Sổ đỏ/ Sổ hồng,30/03/2026
Siêu phẩm xây mới An Dương Vương - Ngang 5.1m - D thực 50m2 + 4 tầng chỉ nhỉnh 8 tỷ,"8,9 tỷ","Đường An Dương Vương, Phường 4, Quận 5, Hồ Chí Minh",50 m²,4 phòng,5 phòng,4 tầng,Sổ đỏ/ Sổ hồng,18/03/2026
"Tin thật quá rẻ chỉ 132tr/m2 CHDV dòng tiền 110tr/th 30 phòng khép kín đầy đủ PCCC, hẻm ô tô","18,5 tỷ","Đường Lê Trọng Tấn, Phường Tây Thạnh, Quận Tân Phú, Hồ Chí Minh",140 m²,30 phòng,29 phòng,5 tầng,Sổ đỏ/ Sổ hồng,30/03/2026
Nhà 5 tầng Âu Dương Lân ngang 5m Tặng Nội Thất dòng tiền 70tr/tháng Ở hoặc khai thác CHDV,10 tỷ,"Đường Âu Dương Lân, Phường 3, Quận 8, Hồ Chí Minh",75 m²,N/A,N/A,N/A,N/A,29/03/2026
"BÁN NHÀ HẺM ĐẸP 5M, Ô TÔ , ĐƯỜNG NGUYỄN ĐÌNH CHIỂU, QUẬN 3, DT: 4X11M, NỠ HẬU 4.5M, 2 TẦNG, 7.9 TỶ","7,9 tỷ","Đường Nguyễn Đình Chiểu, Phường 4, Quận 3, Hồ Chí Minh",41 m²,2 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,20/03/2026
QUẬN 3 - ĐIỆN BIÊN PHỦ - 62M2 - 13 TỶ - HẺM XE TẢI 6M - 3 TẦNG KIÊN CỐ,13 tỷ,"Đường Điện Biên Phủ, Phường 1, Quận 3, Hồ Chí Minh",62 m²,N/A,N/A,3 tầng,Sổ hồng,20/03/2026
"BÁN NHÀ HXH- NGAY ÂU CƠ, GIÁP BÀU CÁT- Ở NGAY- NHỈNH 8 TỶ THƯƠNG LƯỢNG","8,3 tỷ","Đường Âu Cơ, Phường 10, Quận 11, Hồ Chí Minh",64 m²,3 phòng,3 phòng,4 tầng,Sổ đỏ/ Sổ hồng,25/03/2026
Trung tâm Q.1 - Đỗ Quang Đẩu - Phố Tây Bùi Viện - Hiếm nhà bán - Chợ Bến Thành - 4 tầng - Chỉ 8.9tỷ,"8,9 tỷ","Đường Đỗ Quang Đẩu, Phường Bến Thành, Quận 1, Hồ Chí Minh",54 m²,7 phòng,8 phòng,4 tầng,Sổ đỏ/ Sổ hồng,30/03/2026
